------------------------------------------------------ 
:: Shear Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 1 | STRESS SOLUTION | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhs_dmu  dhs_dK  dhs_drho  dls_dmu  dls_dK  dls_drho  dks_dmu  dks_dK  dks_drho 
5301.330370 0.749972 1.422253 0.840096 -0.109802 0.865611 -2.414028 -1.580229 -0.930085 4.100858 -0.001963 -0.001051 -0.001963
5330.240360 0.743030 1.403503 0.837059 -0.112288 0.892405 -2.454555 -1.622851 -0.954195 4.134396 -0.001982 -0.001067 -0.001982
5359.150350 0.736049 1.384676 0.833998 -0.114943 0.920133 -2.496098 -1.666718 -0.978947 4.168350 -0.002002 -0.001084 -0.002002
5388.060340 0.729055 1.365824 0.830929 -0.117765 0.948800 -2.537814 -1.711829 -1.004344 4.201477 -0.002023 -0.001101 -0.002023
5416.970330 0.722018 1.346884 0.827834 -0.120776 0.978494 -2.580576 -1.758269 -1.030434 4.235012 -0.002043 -0.001117 -0.002043
5445.880320 0.714964 1.327909 0.824728 -0.123975 1.009223 -2.623521 -1.806035 -1.057219 4.267687 -0.002065 -0.001135 -0.002065
5474.790310 0.707880 1.308871 0.821602 -0.127379 1.041056 -2.667540 -1.855194 -1.084736 4.300757 -0.002086 -0.001152 -0.002086
5503.700300 0.700765 1.289774 0.818456 -0.130996 1.074041 -2.711757 -1.905791 -1.113007 4.332935 -0.002108 -0.001170 -0.002108
5532.610290 0.693632 1.270642 0.815298 -0.134835 1.108212 -2.757076 -1.957850 -1.142049 4.365496 -0.002131 -0.001188 -0.002131
5561.520280 0.686455 1.251431 0.812111 -0.138915 1.143667 -2.802608 -2.011480 -1.171908 4.397129 -0.002154 -0.001207 -0.002154
5590.430270 0.679268 1.232200 0.808918 -0.143238 1.180413 -2.849275 -2.066652 -1.202590 4.429136 -0.002178 -0.001225 -0.002178
5619.340260 0.662991 1.215747 0.805695 -0.148677 1.213860 -2.896213 -2.172403 -1.219782 4.460120 -0.002234 -0.001225 -0.002234
5648.250250 0.642425 1.200737 0.802455 -0.154897 1.245897 -2.944519 -2.311668 -1.229544 4.491209 -0.002308 -0.001214 -0.002308
5677.160240 0.622177 1.185705 0.799197 -0.161521 1.278881 -2.993293 -2.462138 -1.238903 4.520995 -0.002386 -0.001202 -0.002386
5706.070230 0.483726 0.997969 0.725625 -0.216412 1.572194 -3.044268 -3.446622 -1.309975 4.550954 -0.002566 -0.001159 -0.002566
5734.980220 0.479035 0.987167 0.724402 -0.222748 1.614390 -3.098956 -3.548739 -1.337466 4.579965 -0.002614 -0.001169 -0.002614
5763.890210 0.474371 0.976437 0.723178 -0.229360 1.657542 -3.154706 -3.653751 -1.365263 4.608686 -0.002662 -0.001179 -0.002662
5792.800200 0.459173 0.946661 0.717880 -0.240628 1.742789 -3.211288 -3.874188 -1.407083 4.636585 -0.002716 -0.001191 -0.002716
5821.710190 0.440968 0.911369 0.711255 -0.253652 1.848210 -3.269647 -4.153185 -1.455197 4.664283 -0.002774 -0.001202 -0.002774
5850.620180 0.423241 0.876949 0.704631 -0.267003 1.961678 -3.329440 -4.459520 -1.505263 4.691185 -0.002835 -0.001214 -0.002835
5879.530170 0.405987 0.843396 0.698006 -0.280663 2.083924 -3.391212 -4.796201 -1.557351 4.717836 -0.002899 -0.001225 -0.002899
5908.440160 0.389195 0.810692 0.691381 -0.294615 2.215800 -3.454604 -5.166811 -1.611534 4.743617 -0.002966 -0.001235 -0.002966
5937.350150 0.372861 0.778825 0.684756 -0.308829 2.358227 -3.520186 -5.575247 -1.667889 4.769080 -0.003036 -0.001244 -0.003036
5966.260140 0.356978 0.747787 0.678131 -0.323271 2.512234 -3.587606 -6.025977 -1.726483 4.793591 -0.003110 -0.001253 -0.003110
5995.170130 0.311858 0.667541 0.641606 -0.324477 2.947245 -3.660247 -7.538536 -1.851222 4.817819 -0.003246 -0.001255 -0.003246
6024.080120 0.307695 0.654296 0.638467 -0.340856 3.058984 -3.734961 -7.769233 -1.903603 4.841269 -0.003299 -0.001269 -0.003299
6052.990110 0.303569 0.641218 0.635328 -0.358127 3.174870 -3.811258 -8.007052 -1.957058 4.863975 -0.003353 -0.001282 -0.003353
6081.900100 0.299481 0.628309 0.632189 -0.376343 3.295041 -3.889012 -8.252187 -2.011581 4.885720 -0.003407 -0.001294 -0.003407
6110.810090 0.295428 0.615563 0.629050 -0.395552 3.419696 -3.968419 -8.504908 -2.067188 4.906657 -0.003462 -0.001307 -0.003462
6139.720080 0.291414 0.602987 0.625912 -0.415817 3.548942 -4.049352 -8.765397 -2.123851 4.926564 -0.003517 -0.001319 -0.003517
6168.630070 0.257526 0.498335 0.611164 -0.300806 4.576565 -4.136961 -10.609147 -2.506302 4.947921 -0.003411 -0.001451 -0.003411
6197.540060 0.259009 0.500913 0.611736 -0.360370 4.591847 -4.227184 -10.591391 -2.523243 4.968633 -0.003481 -0.001445 -0.003481
6226.450050 0.260499 0.503497 0.612307 -0.416785 4.606913 -4.318202 -10.580692 -2.540056 4.987859 -0.003552 -0.001439 -0.003552
6255.360040 0.261993 0.506091 0.612879 -0.470144 4.621743 -4.409995 -10.576910 -2.556722 5.005555 -0.003625 -0.001433 -0.003625
6284.270030 0.263492 0.508693 0.613450 -0.520528 4.636343 -4.502541 -10.579769 -2.573247 5.021681 -0.003700 -0.001427 -0.003700
6313.180020 0.264997 0.511302 0.614021 -0.568015 4.650743 -4.595820 -10.589052 -2.589645 5.036195 -0.003776 -0.001421 -0.003776
6342.090010 0.266507 0.513921 0.614593 -0.612688 4.664915 -4.689812 -10.604576 -2.605898 5.049056 -0.003855 -0.001416 -0.003855
6371.000000 0.104151 0.203285 0.415164 5.036601 18.088360 -4.846969 -59.199895 -4.645147 5.077505 -0.004016 -0.001406 -0.004016
