------------------------------------------------------ 
:: Potential Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 4 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhp_dmu  dhp_dK  dhp_drho  dlp_dmu  dlp_dK  dlp_drho  dkp_dmu  dkp_dK  dkp_drho 
5850.620180 0.423241 0.876949 0.704631 -0.370137 -0.127268 1.316494 -0.289745 0.027096 0.088792 -0.107540 -0.004898 0.418667
5879.530170 0.405987 0.843396 0.698006 -0.358398 -0.135142 1.346496 -0.305314 0.028402 0.100564 -0.104855 -0.005062 0.429919
5908.440160 0.389195 0.810692 0.691381 -0.344765 -0.143137 1.377071 -0.320641 0.029684 0.113460 -0.101668 -0.005203 0.441280
5937.350150 0.372861 0.778825 0.684756 -0.329098 -0.151194 1.408318 -0.335469 0.030927 0.127521 -0.097952 -0.005318 0.452729
5966.260140 0.356978 0.747787 0.678131 -0.311261 -0.159243 1.440142 -0.349485 0.032114 0.142906 -0.093688 -0.005402 0.464233
5995.170130 0.311858 0.667541 0.641606 -0.354520 -0.189744 1.474366 -0.416869 0.035915 0.160452 -0.102779 -0.006255 0.476280
6024.080120 0.307695 0.654296 0.638467 -0.309490 -0.190556 1.509088 -0.410798 0.036201 0.179486 -0.092411 -0.005988 0.488267
6052.990110 0.303569 0.641218 0.635328 -0.264577 -0.190969 1.543887 -0.401944 0.036395 0.199910 -0.082198 -0.005708 0.500034
6081.900100 0.299481 0.628309 0.632189 -0.220020 -0.190923 1.578651 -0.389948 0.036485 0.221831 -0.072224 -0.005415 0.511525
6110.810090 0.295428 0.615563 0.629050 -0.176100 -0.190357 1.613337 -0.374426 0.036460 0.245321 -0.062585 -0.005108 0.522688
6139.720080 0.291414 0.602987 0.625912 -0.133136 -0.189197 1.647818 -0.354954 0.036306 0.270497 -0.053392 -0.004788 0.533459
6168.630070 0.257526 0.498335 0.611164 -0.137399 -0.236100 1.685602 -0.392899 0.042439 0.298433 -0.051979 -0.005583 0.544249
6197.540060 0.259009 0.500913 0.611736 -0.081755 -0.222943 1.723731 -0.348939 0.040681 0.328467 -0.041411 -0.004909 0.554564
6226.450050 0.260499 0.503497 0.612307 -0.031834 -0.209835 1.760806 -0.301395 0.038847 0.360316 -0.032461 -0.004287 0.564159
6255.360040 0.261993 0.506091 0.612879 0.011930 -0.196756 1.796673 -0.249930 0.036936 0.394073 -0.025212 -0.003714 0.572967
6284.270030 0.263492 0.508693 0.613450 0.049061 -0.183690 1.831172 -0.194203 0.034947 0.429833 -0.019755 -0.003188 0.580916
6313.180020 0.264997 0.511302 0.614021 0.079045 -0.170619 1.864131 -0.133871 0.032880 0.467695 -0.016194 -0.002707 0.587931
6342.090010 0.266507 0.513921 0.614593 0.101333 -0.157528 1.895368 -0.068584 0.030735 0.507762 -0.014640 -0.002271 0.593933
6371.000000 0.104151 0.203285 0.415164 0.422578 -0.308632 1.957338 -0.010269 0.030075 0.568694 -0.014928 -0.001999 0.599239
